Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
1648	SUCCESS	2	0	3.45	0.1	3.55
2222	SUCCESS	2	0	3.45	0.1	3.55
2263	SUCCESS	2	0	3.45	0.1	3.55
2301	SUCCESS	2	0	3.45	0.1	3.55
2318	SUCCESS	2	0	3.45	0.1	3.55
2319	SUCCESS	2	0	3.45	0.1	3.55
2922	SUCCESS	2	0	3.45	0.1	3.55
1938	SUCCESS	2	4	3.45	0.1	3.55
2832	SUCCESS	2	4	3.45	0.1	3.55
2835	SUCCESS	2	4	3.45	0.1	3.55
1045	SUCCESS	2	1	3.55	0.1	3.65
1945	SUCCESS	2	1	3.65	0.1	3.75
102	SUCCESS	2	2	3.65	0.1	3.75
1987	SUCCESS	2	2	3.65	0.1	3.75
1764	SUCCESS	2	3	3.65	0.1	3.75
1743	SUCCESS	2	4	3.65	0.1	3.75
137	SUCCESS	2	1	3.76	0.1	3.86
1208	SUCCESS	2	1	3.76	0.1	3.86
1773	SUCCESS	2	1	3.76	0.1	3.86
1782	SUCCESS	2	1	3.76	0.1	3.86
2265	SUCCESS	2	1	3.76	0.1	3.86
1836	SUCCESS	2	3	3.76	0.1	3.86
1027	SUCCESS	2	0	3.87	0.1	3.97
194	SUCCESS	2	2	3.87	0.1	3.97
1028	SUCCESS	2	1	3.98	0.1	4.08
1395	SUCCESS	2	1	3.98	0.1	4.08
1932	SUCCESS	2	2	3.98	0.1	4.08
1050	SUCCESS	2	2	4.11	0.1	4.21
1697	SUCCESS	2	0	4.22	0.1	4.32
1744	SUCCESS	2	0	4.22	0.1	4.32
2328	SUCCESS	2	0	4.22	0.1	4.32
2448	SUCCESS	2	0	4.22	0.1	4.32
1989	SUCCESS	2	2	4.22	0.1	4.32
2253	SUCCESS	2	2	4.22	0.1	4.32
62	SUCCESS	2	1	4.38	0.1	4.48
338	SUCCESS	2	1	4.38	0.1	4.48
910	SUCCESS	2	1	4.38	0.1	4.48
1354	SUCCESS	2	1	4.38	0.1	4.48
2728	SUCCESS	2	2	4.49	0.1	4.59
1046	SUCCESS	2	0	4.65	0.1	4.75
127	SUCCESS	2	1	4.76	0.1	4.86
1673	SUCCESS	2	1	4.76	0.1	4.86
2440	SUCCESS	2	1	4.76	0.1	4.86
2870	SUCCESS	2	1	4.76	0.1	4.86
2901	SUCCESS	2	1	4.76	0.1	4.86
2854	SUCCESS	2	2	4.76	0.1	4.86
2936	SUCCESS	2	4	4.76	0.1	4.86
1402	SUCCESS	2	5	4.76	0.1	4.86
291	SUCCESS	2	0	4.87	0.1	4.97
2236	SUCCESS	2	3	4.87	0.1	4.97
311	SUCCESS	2	6	4.87	0.1	4.97
1206	SUCCESS	2	2	4.98	0.1	5.08
2379	SUCCESS	2	2	4.98	0.1	5.08
124	SUCCESS	2	0	5.09	0.1	5.19
163	SUCCESS	2	0	5.09	0.1	5.19
304	SUCCESS	2	0	5.09	0.1	5.19
1081	SUCCESS	2	0	5.09	0.1	5.19
1257	SUCCESS	2	0	5.09	0.1	5.19
2311	SUCCESS	2	0	5.09	0.1	5.19
1837	SUCCESS	2	3	5.2	0.1	5.3
1664	SUCCESS	2	1	5.31	0.1	5.41
2241	SUCCESS	2	1	5.31	0.1	5.41
2322	SUCCESS	2	1	5.31	0.1	5.41
2436	SUCCESS	2	1	5.31	0.1	5.41
2867	SUCCESS	2	1	5.31	0.1	5.41
1169	SUCCESS	2	2	5.31	0.1	5.41
1991	SUCCESS	2	2	5.31	0.1	5.41
1794	SUCCESS	2	3	5.31	0.1	5.41
1374	SUCCESS	2	2	5.41	0.1	5.51
1066	SUCCESS	2	0	5.52	0.1	5.62
1047	SUCCESS	2	1	5.52	0.1	5.62
1102	SUCCESS	2	2	5.52	0.1	5.62
2727	SUCCESS	2	2	5.52	0.1	5.62
2793	SUCCESS	2	2	5.52	0.1	5.62
1219	SUCCESS	2	1	5.74	0.1	5.84
115	SUCCESS	2	2	5.74	0.1	5.84
1854	SUCCESS	2	2	5.74	0.1	5.84
1360	SUCCESS	2	1	5.86	0.1	5.96
1986	SUCCESS	2	1	5.86	0.1	5.96
507	SUCCESS	2	0	5.97	0.1	6.07
524	SUCCESS	2	0	5.97	0.1	6.07
1332	SUCCESS	2	0	5.97	0.1	6.07
1850	SUCCESS	2	3	5.97	0.1	6.07
2906	SUCCESS	2	4	5.97	0.1	6.07
2420	SUCCESS	2	5	5.97	0.1	6.07
1939	SUCCESS	2	3	6.21	0.1	6.31
1025	SUCCESS	2	0	6.32	0.1	6.42
1042	SUCCESS	2	0	6.32	0.1	6.42
1399	SUCCESS	2	0	6.32	0.1	6.42
1144	SUCCESS	2	1	6.32	0.1	6.42
1906	SUCCESS	2	1	6.32	0.1	6.42
1135	SUCCESS	2	2	6.32	0.1	6.42
1386	SUCCESS	2	2	6.57	0.1	6.67
1981	SUCCESS	2	2	6.57	0.1	6.67
1700	SUCCESS	2	5	6.68	0.1	6.78
2701	SUCCESS	2	5	6.68	0.1	6.78
63	SUCCESS	2	0	6.91	0.1	7.01
176	SUCCESS	2	0	6.91	0.1	7.01
263	SUCCESS	2	0	6.91	0.1	7.01
501	SUCCESS	2	0	6.91	0.1	7.01
2006	SUCCESS	2	0	6.91	0.1	7.01
2261	SUCCESS	2	0	6.91	0.1	7.01
2437	SUCCESS	2	0	6.91	0.1	7.01
908	SUCCESS	2	1	6.91	0.1	7.01
2460	SUCCESS	2	1	6.91	0.1	7.01
2245	SUCCESS	2	2	7.03	0.1	7.13
1269	SUCCESS	2	3	7.03	0.1	7.13
1044	SUCCESS	2	0	7.2	0.1	7.3
1053	SUCCESS	2	0	7.2	0.1	7.3
1280	SUCCESS	2	2	7.2	0.1	7.3
2736	SUCCESS	2	0	7.31	0.1	7.41
900	SUCCESS	2	1	7.31	0.1	7.41
1205	SUCCESS	2	1	7.31	0.1	7.41
2833	SUCCESS	2	1	7.31	0.1	7.41
2383	SUCCESS	2	1	7.42	0.1	7.52
2779	SUCCESS	2	1	7.42	0.1	7.52
57	SUCCESS	2	0	7.53	0.1	7.63
106	SUCCESS	2	0	7.53	0.1	7.63
1261	SUCCESS	2	0	7.53	0.1	7.63
1376	SUCCESS	2	0	7.53	0.1	7.63
1589	SUCCESS	2	0	7.53	0.1	7.63
1688	SUCCESS	2	0	7.53	0.1	7.63
2316	SUCCESS	2	0	7.53	0.1	7.63
2419	SUCCESS	2	0	7.53	0.1	7.63
2478	SUCCESS	2	0	7.53	0.1	7.63
2512	SUCCESS	2	0	7.53	0.1	7.63
77	SUCCESS	2	4	7.53	0.1	7.63
1352	SUCCESS	2	2	7.64	0.1	7.74
1806	SUCCESS	2	2	7.64	0.1	7.74
1903	SUCCESS	2	2	7.77	0.1	7.87
236	SUCCESS	2	1	7.88	0.1	7.98
1726	SUCCESS	2	1	7.88	0.1	7.98
1807	SUCCESS	2	2	7.88	0.1	7.98
293	SUCCESS	2	4	7.99	0.1	8.09
1371	SUCCESS	2	1	8.1	0.1	8.2
1377	SUCCESS	2	1	8.1	0.1	8.2
1955	SUCCESS	2	1	8.1	0.1	8.2
184	SUCCESS	2	3	8.1	0.1	8.2
1217	SUCCESS	2	0	8.22	0.1	8.32
2725	SUCCESS	2	0	8.22	0.1	8.32
1772	SUCCESS	2	2	8.22	0.1	8.32
320	SUCCESS	2	0	8.33	0.1	8.43
357	SUCCESS	2	0	8.33	0.1	8.43
755	SUCCESS	2	0	8.33	0.1	8.43
1364	SUCCESS	2	0	8.33	0.1	8.43
1367	SUCCESS	2	0	8.33	0.1	8.43
1383	SUCCESS	2	0	8.33	0.1	8.43
1982	SUCCESS	2	0	8.33	0.1	8.43
1988	SUCCESS	2	0	8.33	0.1	8.43
2496	SUCCESS	2	0	8.33	0.1	8.43
344	SUCCESS	2	4	8.33	0.1	8.43
1380	SUCCESS	2	1	8.47	0.1	8.57
1759	SUCCESS	2	1	8.47	0.1	8.57
2722	SUCCESS	2	1	8.47	0.1	8.57
1265	SUCCESS	2	3	8.58	0.1	8.68
1057	SUCCESS	2	0	8.85	0.1	8.95
1605	SUCCESS	2	1	8.85	0.1	8.95
2223	SUCCESS	2	1	8.85	0.1	8.95
1204	SUCCESS	2	0	8.98	0.1	9.08
2267	SUCCESS	2	2	9.11	0.1	9.21
277	SUCCESS	2	0	9.22	0.1	9.32
347	SUCCESS	2	0	9.22	0.1	9.32
1678	SUCCESS	2	0	9.22	0.1	9.32
2407	SUCCESS	2	0	9.22	0.1	9.32
2729	SUCCESS	2	0	9.22	0.1	9.32
2803	SUCCESS	2	0	9.22	0.1	9.32
2811	SUCCESS	2	0	9.22	0.1	9.32
2813	SUCCESS	2	0	9.22	0.1	9.32
2908	SUCCESS	2	0	9.22	0.1	9.32
110	SUCCESS	2	1	9.36	0.1	9.46
901	SUCCESS	2	1	9.36	0.1	9.46
251	SUCCESS	2	7	9.47	0.1	9.57
197	SUCCESS	2	1	9.81	0.1	9.91
922	SUCCESS	2	1	9.92	0.1	10.02
2444	SUCCESS	2	1	9.92	0.1	10.02
741	SUCCESS	2	3	9.92	0.1	10.02
1748	SUCCESS	2	3	9.92	0.1	10.02
1277	SUCCESS	2	4	9.92	0.1	10.02
1361	SUCCESS	2	0	10.03	0.1	10.13
2246	SUCCESS	2	0	10.03	0.1	10.13
2389	SUCCESS	2	0	10.03	0.1	10.13
2449	SUCCESS	2	0	10.03	0.1	10.13
2718	SUCCESS	2	0	10.03	0.1	10.13
2888	SUCCESS	2	0	10.03	0.1	10.13
2925	SUCCESS	2	0	10.03	0.1	10.13
1770	SUCCESS	2	3	10.03	0.1	10.13
2237	SUCCESS	2	1	10.29	0.1	10.39
2292	SUCCESS	2	4	10.29	0.1	10.39
1362	SUCCESS	2	0	10.4	0.1	10.5
215	SUCCESS	2	1	10.4	0.1	10.5
1117	SUCCESS	2	1	10.4	0.1	10.5
1846	SUCCESS	2	1	10.4	0.1	10.5
2885	SUCCESS	2	1	10.4	0.1	10.5
630	SUCCESS	2	3	10.4	0.1	10.5
2410	SUCCESS	2	0	10.71	0.1	10.81
287	SUCCESS	2	1	10.71	0.1	10.81
1263	SUCCESS	2	1	10.71	0.1	10.81
1702	SUCCESS	2	0	10.82	0.1	10.92
1729	SUCCESS	2	0	10.82	0.1	10.92
1983	SUCCESS	2	0	10.82	0.1	10.92
2703	SUCCESS	2	0	10.82	0.1	10.92
1856	SUCCESS	2	1	10.82	0.1	10.92
1857	SUCCESS	2	1	10.82	0.1	10.92
2238	SUCCESS	2	1	10.82	0.1	10.92
1181	SUCCESS	2	2	11.07	0.1	11.17
1373	SUCCESS	2	0	11.18	0.1	11.28
1108	SUCCESS	2	1	11.46	0.1	11.56
2758	SUCCESS	2	1	11.46	0.1	11.56
2726	SUCCESS	2	0	11.57	0.1	11.67
2735	SUCCESS	2	0	11.57	0.1	11.67
74	SUCCESS	2	0	11.68	0.1	11.78
1594	SUCCESS	2	0	11.68	0.1	11.78
1943	SUCCESS	2	0	11.68	0.1	11.78
2843	SUCCESS	2	0	11.68	0.1	11.78
2917	SUCCESS	2	0	11.68	0.1	11.78
2935	SUCCESS	2	0	11.68	0.1	11.78
195	SUCCESS	2	1	11.8	0.1	11.9
315	SUCCESS	2	1	11.92	0.1	12.02
1105	SUCCESS	2	2	11.92	0.1	12.02
1059	SUCCESS	2	0	12.07	0.1	12.17
1954	SUCCESS	2	1	12.18	0.1	12.28
2402	SUCCESS	2	1	12.18	0.1	12.28
654	SUCCESS	2	3	12.18	0.1	12.28
188	SUCCESS	2	1	12.31	0.1	12.41
180	SUCCESS	2	0	12.43	0.1	12.53
2283	SUCCESS	2	0	12.43	0.1	12.53
2783	SUCCESS	2	1	12.93	0.1	13.03
281	SUCCESS	2	0	13.2	0.1	13.3
619	SUCCESS	2	0	13.2	0.1	13.3
2685	SUCCESS	2	0	13.2	0.1	13.3
1382	SUCCESS	2	1	13.2	0.1	13.3
1793	SUCCESS	2	1	13.2	0.1	13.3
1795	SUCCESS	2	1	13.2	0.1	13.3
107	SUCCESS	2	2	13.42	0.1	13.52
133	SUCCESS	2	2	13.69	0.1	13.79
1747	SUCCESS	2	2	13.69	0.1	13.79
297	SUCCESS	2	4	13.69	0.1	13.79
85	SUCCESS	2	2	13.91	0.1	14.01
920	SUCCESS	2	0	14.02	0.1	14.12
1721	SUCCESS	2	0	14.02	0.1	14.12
2324	SUCCESS	2	0	14.02	0.1	14.12
2445	SUCCESS	2	0	14.02	0.1	14.12
2741	SUCCESS	2	0	14.02	0.1	14.12
2792	SUCCESS	2	0	14.02	0.1	14.12
1952	SUCCESS	2	1	14.12	0.1	14.22
2459	SUCCESS	2	1	14.12	0.1	14.22
1853	SUCCESS	2	2	14.12	0.1	14.22
1266	SUCCESS	2	1	14.37	0.1	14.47
1840	SUCCESS	2	1	14.37	0.1	14.47
2296	SUCCESS	2	1	14.65	0.1	14.75
2746	SUCCESS	2	0	14.76	0.1	14.86
2386	SUCCESS	2	0	14.87	0.1	14.97
1139	SUCCESS	2	1	14.87	0.1	14.97
1870	SUCCESS	2	1	14.87	0.1	14.97
2255	SUCCESS	2	1	14.87	0.1	14.97
2715	SUCCESS	2	1	14.87	0.1	14.97
2515	SUCCESS	2	4	14.87	0.1	14.97
2429	SUCCESS	2	3	15.09	0.1	15.19
1150	SUCCESS	2	6	15.09	0.1	15.19
1365	SUCCESS	2	0	15.2	0.1	15.3
313	SUCCESS	2	2	15.2	0.1	15.3
1930	SUCCESS	2	3	15.2	0.1	15.3
1333	SUCCESS	2	1	15.34	0.1	15.44
2323	SUCCESS	2	1	15.34	0.1	15.44
2937	SUCCESS	2	3	15.47	0.1	15.57
91	SUCCESS	2	0	15.58	0.1	15.68
1103	SUCCESS	2	0	15.58	0.1	15.68
2432	SUCCESS	2	0	15.58	0.1	15.68
2776	SUCCESS	2	0	15.58	0.1	15.68
1643	SUCCESS	2	1	15.69	0.1	15.79
1262	SUCCESS	2	1	15.97	0.1	16.07
126	SUCCESS	2	2	16.08	0.1	16.18
1245	SUCCESS	2	0	16.41	0.1	16.51
1302	SUCCESS	2	3	16.41	0.1	16.51
1381	SUCCESS	2	0	16.87	0.1	16.97
2396	SUCCESS	2	1	16.87	0.1	16.97
1867	SUCCESS	2	0	17.07	0.1	17.17
1099	SUCCESS	2	0	17.17	0.1	17.27
1228	SUCCESS	2	0	17.17	0.1	17.27
1704	SUCCESS	2	0	17.17	0.1	17.27
1865	SUCCESS	2	0	17.17	0.1	17.27
1875	SUCCESS	2	0	17.17	0.1	17.27
1876	SUCCESS	2	0	17.17	0.1	17.27
1985	SUCCESS	2	0	17.17	0.1	17.27
2360	SUCCESS	2	1	17.28	0.1	17.38
2939	SUCCESS	2	2	17.52	0.1	17.62
119	SUCCESS	2	1	17.65	0.1	17.75
1328	SUCCESS	2	0	17.83	0.1	17.93
117	SUCCESS	2	3	17.83	0.1	17.93
218	SUCCESS	2	0	17.94	0.1	18.04
1385	SUCCESS	2	0	17.94	0.1	18.04
2434	SUCCESS	2	0	17.94	0.1	18.04
